Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
Lucas Pouille; 18; FRA; 23; 1994.02.23; 81; 185; 36-22; 3; 1,953,511; 13; 85-66; 4; 4,514,157
Tomas Berdych; 19; CZE; 32; 1985.09.17; 91; 196; 35-18; 0; 1,782,871; 4; 616-321; 13; 28,220,153
Roberto Bautista Agut; 20; ESP; 29; 1988.04.14; 76; 183; 48-21; 2; 1,753,055; 13; 212-130; 6; 7,430,934
Nick Kyrgios; 21; AUS; 22; 1995.04.27; 85; 193; 31-17; 0; 1,787,646; 13; 106-62; 3; 5,514,920
Kei Nishikori; 22; JPN; 27; 1989.12.29; 75; 178; 30-13; 0; 1,485,482; 4; 331-155; 11; 17,624,129
Albert Ramos-Vinolas; 23; ESP; 29; 1988.01.17; 80; 188; 34-31; 0; 1,643,204; 17; 157-178; 1; 5,425,723
Milos Raonic; 24; CAN; 27; 1990.12.27; 98; 196; 29-12; 0; 1,405,103; 3; 288-132; 8; 15,804,114
Gilles Muller; 25; LUX; 34; 1983.05.09; 89; 193; 32-18; 2; 1,227,494; 21; 223-194; 2; 5,403,128
Diego Schwartzman; 26; ARG; 25; 1992.08.16; 64; 170; 39-28; 0; 1,523,297; 25; 70-76; 1; 3,013,699
Fabio Fognini; 27; ITA; 30; 1987.05.24; 74; 178; 36-23; 1; 1,304,964; 13; 282-259; 5; 9,337,102
Adrian Mannarino; 28; FRA; 29; 1988.06.29; 70; 180; 33-27; 0; 1,279,672; 27; 136-163; 0; 4,758,169
Philipp Kohlschreiber; 29; GER; 34; 1983.10.16; 70; 178; 32-19; 1; 1,171,269; 16; 423-322; 8; 10,736,926
Damir Dzumhur; 30; BIH; 25; 1992.05.20; 70; 175; 36-24; 2; 1,012,697; 30; 76-66; 2; 2,180,869
Richard Gasquet; 31; FRA; 31; 1986.06.18; 75; 185; 29-18; 0; 1,020,777; 7; 486-280; 14; 15,840,750
Pablo Cuevas; 32; URU; 31; 1986.01.01; 80; 180; 20-21; 1; 1,124,361; 19; 178-155; 6; 6,727,812
Mischa Zverev; 33; GER; 30; 1987.08.22; 88; 191; 30-32; 0; 1,276,820; 25; 110-155; 0; 4,115,572
Filip Krajinovic; 34; SRB; 25; 1992.02.27; 75; 185; 5-2; 0; 605,365; 33; 21-32; 0; 1,346,124
Fernando Verdasco; 35; ESP; 34; 1983.11.15; 87; 185; 29-25; 0; 1,221,155; 7; 487-361; 7; 14,490,880
Feliciano Lopez; 36; ESP; 36; 1981.09.20; 73; 185; 25-23; 1; 1,303,087; 12; 452-409; 6; 14,640,010
David Ferrer; 37; ESP; 35; 1982.04.02; 73; 175; 24-21; 1; 1,046,695; 3; 717-353; 27; 30,796,561
Alexandr Dolgopolov; 38; UKR; 29; 1988.11.07; 71; 180; 28-23; 1; 934,290; 13; 216-196; 3; 6,894,349
Andrey Rublev; 39; RUS; 20; 1997.10.20; 68; 188; 21-18; 1; 1,296,168; 35; 33-37; 1; 1,697,899
Yuichi Sugita; 40; JPN; 29; 1988.09.18; 70; 175; 22-16; 1; 727,829; 36; 39-50; 1; 1,613,571
Benoit Paire; 41; FRA; 28; 1989.05.08; 80; 196; 31-31; 0; 1,022,828; 18; 153-169; 1; 5,179,002
Robin Haase; 42; NED; 30; 1987.04.06; 71; 191; 28-30; 0; 1,036,252; 33; 190-216; 2; 5,269,193
Paolo Lorenzi; 43; ITA; 36; 1981.12.15; 77; 183; 25-35; 0; 979,470; 33; 97-154; 1; 4,039,685
Steve Johnson; 44; USA; 28; 1989.12.24; 86; 188; 30-22; 1; 933,228; 21; 122-116; 2; 4,231,510
Karen Khachanov; 45; RUS; 21; 1996.05.21; 88; 198; 26-31; 0; 1,157,784; 29; 43-46; 1; 1,848,679
Gael Monfils; 46; FRA; 31; 1986.09.01; 80; 193; 20-14; 0; 1,021,555; 6; 411-232; 6; 13,744,378
Ryan Harrison; 47; USA; 25; 1992.05.07; 84; 185; 19-23; 1; 780,131; 40; 93-129; 1; 3,624,828
Borna Coric; 48; CRO; 21; 1996.11.14; 79; 185; 24-26; 1; 994,482; 33; 79-86; 1; 2,605,378
Aljaz Bedene; 49; GBR; 28; 1989.07.18; 72; 183; 19-18; 0; 640,720; 45; 70-87; 0; 2,289,561
Kyle Edmund; 50; GBR; 22; 1995.01.08; 83; 188; 30-30; 0; 952,699; 40; 53-63; 0; 2,117,993
Denis Shapovalov; 51; CAN; 18; 1999.04.15; 76; 183; 12-13; 0; 762,664; 49; 14-15; 0; 828,926
Leonardo Mayer; 52; ARG; 30; 1987.05.15; 80; 191; 11-8; 1; 655,888; 21; 141-145; 2; 4,784,952
Jan-Lennard Struff; 53; GER; 27; 1990.04.25; 87; 196; 28-29; 0; 781,676; 44; 65-92; 0; 2,377,544
Jared Donaldson; 54; USA; 21; 1996.10.09; 75; 188; 21-25; 0; 840,088; 50; 32-44; 0; 1,457,145
Viktor Troicki; 55; SRB; 31; 1986.02.10; 86; 193; 24-28; 0; 886,201; 12; 282-250; 3; 8,060,087
Julien Benneteau; 56; FRA; 36; 1981.12.20; 79; 185; 13-14; 0; 570,506; 25; 265-286; 0; 8,997,245
Joao Sousa; 57; POR; 28; 1989.03.30; 74; 185; 25-32; 0; 704,606; 28; 142-157; 2; 4,296,925
Hyeon Chung; 58; KOR; 21; 1996.05.19; 87; 188; 29-18; 1; 1,040,510; 44; 51-43; 1; 1,687,063
Nikoloz Basilashvili; 59; GEO; 25; 1992.02.23; 79; 185; 25-27; 0; 732,876; 51; 37-46; 0; 1,409,671
Peter Gojowczyk; 60; GER; 28; 1989.07.15; 83; 188; 14-9; 1; 410,401; 60; 25-26; 1; 1,169,213
Donald Young; 61; USA; 28; 1989.07.23; 79; 183; 24-22; 0; 713,155; 38; 121-175; 0; 4,216,868
Jiri Vesely; 62; CZE; 24; 1993.07.10; 92; 198; 24-26; 0; 705,189; 35; 85-102; 1; 2,917,835
Denis Istomin; 63; UZB; 31; 1986.09.07; 88; 188; 17-18; 1; 699,225; 33; 211-227; 2; 5,336,016
Guido Pella; 64; ARG; 27; 1990.05.17; 83; 185; 16-18; 0; 460,121; 39; 43-63; 0; 1,892,801
Daniil Medvedev; 65; RUS; 21; 1996.02.11; 81; 198; 24-26; 0; 727,579; 48; 29-31; 0; 939,364
Horacio Zeballos; 66; ARG; 32; 1985.04.27; 83; 188; 20-22; 0; 707,541; 39; 80-119; 1; 3,602,816
Dudi Sela; 67; ISR; 32; 1985.04.04; 65; 175; 13-17; 0; 474,394; 29; 136-184; 0; 3,574,712
Federico Delbonis; 68; ARG; 27; 1990.10.05; 88; 191; 11-10; 0; 378,265; 33; 96-103; 2; 2,788,347
Florian Mayer; 69; GER; 34; 1983.10.05; 82; 191; 10-17; 0; 673,616; 18; 241-246; 2; 6,914,734
Guillermo Garcia-Lopez; 70; ESP; 34; 1983.06.04; 80; 185; 5-15; 0; 403,631; 23; 275-321; 5; 7,454,851
Yen-Hsun Lu; 71; TPE; 34; 1983.08.14; 74; 180; 9-14; 0; 442,787; 33; 161-222; 0; 4,796,896
Evgeny Donskoy; 72; RUS; 27; 1990.05.09; 74; 185; 5-14; 0; 435,654; 65; 36-79; 0; 1,935,575
Thomas Fabbiano; 73; ITA; 28; 1989.05.26; 69; 173; 4-12; 0; 381,464; 70; 9-28; 0; 1,021,151
Mikhail Kukushkin; 74; KAZ; 30; 1987.12.26; 72; 183; 13-14; 0; 524,936; 46; 117-151; 1; 3,663,017
Dusan Lajovic; 75; SRB; 27; 1990.06.30; 78; 183; 18-22; 0; 548,667; 57; 75-99; 0; 2,307,855
Matthew Ebden; 76; AUS; 30; 1987.11.26; 80; 188; 9-7; 0; 193,408; 61; 49-84; 0; 1,970,540
Steve Darcis; 77; BEL; 33; 1984.03.13; 77; 178; 20-20; 0; 531,591; 38; 111-121; 2; 2,989,098
Jeremy Chardy; 78; FRA; 30; 1987.02.12; 75; 188; 18-21; 0; 558,812; 25; 224-230; 1; 7,093,244
Frances Tiafoe; 79; USA; 19; 1998.01.20; 77; 188; 7-17; 0; 499,300; 60; 9-29; 0; 849,255
Ivo Karlovic; 80; CRO; 38; 1979.02.28; 104; 211; 15-20; 0; 670,230; 14; 346-307; 8; 8,790,533
Pierre-Hugues Herbert; 81; FRA; 26; 1991.03.18; 75; 188; 10-20; 0; 548,422; 63; 30-51; 0; 4,021,201
Cedrik-Marcel Stebe; 82; GER; 27; 1990.10.09; 70; 183; 6-6; 0; 201,758; 71; 21-30; 0; 794,974
Victor Estrella Burgos; 83; DOM; 37; 1980.08.02; 77; 170; 9-10; 1; 354,188; 43; 82-72; 3; 1,958,311
Mikhail Youzhny; 84; RUS; 35; 1982.06.25; 73; 183; 10-20; 0; 461,710; 8; 492-398; 10; 13,863,808
Marton Fucsovics; 85; HUN; 25; 1992.02.08; 82; 188; 9-8; 0; 284,020; 84; 22-20; 0; 660,347
Andreas Seppi; 86; ITA; 33; 1984.02.21; 75; 191; 18-18; 0; 562,562; 18; 327-350; 3; 8,769,327
Radu Albot; 87; MDA; 28; 1989.11.11; 69; 175; 9-17; 0; 467,397; 81; 30-42; 0; 1,268,479
Laslo Djere; 88; SRB; 22; 1995.06.02; 80; 185; 7-5; 0; 139,601; 88; 7-8; 0; 307,616
Gilles Simon; 89; FRA; 33; 1984.12.27; 70; 183; 16-25; 0; 666,044; 6; 421-307; 12; 12,475,521
Maximilian Marterer; 90; GER; 22; 1995.06.15; 84; 191; 0-10; 0; 207,490; 90; 0-14; 0; 315,881
Stefanos Tsitsipas; 91; GRE; 19; 1998.08.12; 83; 193; 4-10; 0; 302,949; 87; 4-10; 0; 351,082
Lukas Lacko; 92; SVK; 30; 1987.11.03; 85; 185; 7-10; 0; 322,215; 44; 85-128; 0; 2,780,502
Marius Copil; 93; ROU; 27; 1990.10.17; 86; 191; 8-15; 0; 365,038; 74; 36-48; 0; 1,153,837
Jordan Thompson; 94; AUS; 23; 1994.04.20; 73; 183; 13-17; 0; 423,584; 63; 16-29; 0; 981,787
Nicolas Kicker; 95; ARG; 25; 1992.08.16; 75; 178; 10-13; 0; 362,740; 78; 11-15; 0; 560,301
Tennys Sandgren; 96; USA; 26; 1991.07.22; 87; 188; 2-6; 0; 227,350; 85; 2-6; 0; 478,785
Blaz Kavcic; 97; SLO; 30; 1987.03.05; 78; 188; 1-2; 0; 166,752; 68; 55-80; 0; 1,719,516
Malek Jaziri; 98; TUN; 33; 1984.01.20; 82; 185; 16-22; 0; 582,968; 47; 68-94; 0; 2,394,064
Taro Daniel; 99; JPN; 24; 1993.01.27; 76; 191; 4-10; 0; 336,924; 85; 18-39; 0; 933,082
Gerald Melzer; 100; AUT; 27; 1990.07.13; 80; 188; 9-9; 0; 213,047; 68; 16-28; 0; 699,660
Rogerio Dutra Silva; 101; BRA; 33; 1984.02.05; 73; 178; 12-11; 1; 100,434; 86; 19-23; 1; 1,504,125
Marcos Baghdatis; 102; CYP; 32; 1985.06.17; 82; 178; 18-17; 0; 486,565; 8; 333-255; 4; 8,147,973
Nicolas Mahut; 103; FRA; 35; 1982.01.21; 80; 191; 15-19; 0; 608,164; 37; 171-213; 4; 8,779,268
Taylor Fritz; 104; USA; 20; 1997.10.28; 84; 193; 13-13; 0; 380,211; 53; 29-36; 0; 968,678
Janko Tipsarevic; 105; SRB; 33; 1984.06.22; 80; 180; 5-12; 0; 301,145; 8; 281-246; 4; 8,189,576
Roberto Carballes Baena; 106; ESP; 24; 1993.03.23; 76; 180; 3-2; 0; 123,833; 95; 13-17; 0; 516,996
Andrey Kuznetsov; 107; RUS; 26; 1991.02.22; 71; 185; 14-22; 0; 449,285; 39; 77-97; 0; 2,712,720
Vasek Pospisil; 108; CAN; 27; 1990.06.23; 84; 193; 8-13; 0; 324,685; 25; 91-121; 0; 4,748,682
Marco Cecchinato; 109; ITA; 25; 1992.09.30; 78; 185; 1-5; 0; 180,092; 82; 4-23; 0; 738,457
Bjorn Fratangelo; 110; USA; 24; 1993.07.19; 79; 183; 8-11; 0; 312,230; 99; 14-22; 0; 813,485
Nicolas Jarry; 111; CHI; 22; 1995.10.11; 87; 198; 2-3; 0; 159,234; 99; 5-10; 0; 298,534
Carlos Berlocq; 112; ARG; 34; 1983.02.03; 81; 183; 13-20; 0; 412,192; 37; 133-185; 2; 4,018,067
Thomaz Bellucci; 113; BRA; 29; 1987.12.30; 82; 188; 14-20; 0; 439,419; 21; 199-211; 4; 5,157,757
Cameron Norrie; 114; GBR; 22; 1995.08.23; 80; 188; 2-4; 0; 226,350; 110; 2-4; 0; 271,547
Gastao Elias; 115; POR; 27; 1990.11.24; 76; 183; 7-11; 0; 229,244; 57; 28-47; 0; 1,022,961
Yuki Bhambri; 116; IND; 25; 1992.07.04; 77; 183; 8-4; 0; 140,913; 88; 22-19; 0; 547,183
Alexander Bublik; 117; KAZ; 20; 1997.06.17; 76; 196; 3-3; 0; 217,759; 95; 5-5; 0; 290,640
Ruben Bemelmans; 118; BEL; 29; 1988.01.14; 75; 183; 6-5; 0; 289,066; 84; 22-41; 0; 1,402,730
Yannick Hanfmann; 119; GER; 26; 1991.11.13; 84; 193; 7-5; 0; 144,674; 114; 7-5; 0; 185,039
Ernesto Escobedo; 120; USA; 21; 1996.07.04; 82; 185; 9-15; 0; 369,659; 67; 11-19; 0; 564,214
Henri Laaksonen; 121; SUI; 25; 1992.03.31; 78; 185; 11-12; 0; 280,186; 93; 22-30; 0; 644,116
Sergiy Stakhovsky; 122; UKR; 31; 1986.01.06; 80; 193; 6-8; 0; 288,598; 31; 164-197; 4; 4,783,571
Jerzy Janowicz; 123; POL; 27; 1990.11.13; 94; 203; 6-6; 0; 283,923; 14; 101-95; 0; 3,753,236
Thiago Monteiro; 124; BRA; 23; 1994.05.31; 78; 183; 13-24; 0; 452,632; 74; 19-31; 0; 672,207
Dustin Brown; 125; GER; 33; 1984.12.08; 78; 196; 10-20; 0; 455,855; 64; 60-93; 0; 2,633,386
Pedro Sousa; 126; POR; 29; 1988.05.27; 70; 178; 4-1; 0; 109,828; 102; 9-8; 0; 326,574
Adrian Menendez-Maceiras; 127; ESP; 32; 1985.10.28; 75; 183; 2-4; 0; 184,957; 111; 3-11; 0; 938,132
John Millman; 128; AUS; 28; 1989.06.14; 79; 183; 3-6; 0; 297,602; 60; 29-43; 0; 1,377,211
Quentin Halys; 129; FRA; 21; 1996.10.26; 78; 191; 2-6; 0; 196,467; 117; 5-14; 0; 562,400
Tim Smyczek; 130; USA; 29; 1987.12.30; 73; 175; 1-7; 0; 201,309; 68; 36-70; 0; 1,677,406
Oscar Otte; 131; GER; 24; 1993.07.16; 77; 196; 0-0; 0; 86,914; 129; 0-0; 0; 131,727
Norbert Gombos; 132; SVK; 27; 1990.08.13; 85; 196; 5-10; 0; 254,740; 80; 7-21; 0; 610,745
Daniel Evans; 133; GBR; 27; 1990.05.23; 75; 175; 13-12; 0; 405,918; 41; 34-46; 0; 1,339,693
Stefano Travaglia; 134; ITA; 26; 1991.12.18; 80; 185; 1-3; 0; 184,590; 125; 1-4; 0; 309,125
Matteo Berrettini; 135; ITA; 21; 1996.04.12; 85; 193; 0-1; 0; 84,668; 120; 0-1; 0; 109,402
Ricardas Berankis; 136; LTU; 27; 1990.06.21; 70; 175; 5-7; 0; 287,300; 50; 81-89; 0; 2,164,087
Peter Polansky; 137; CAN; 29; 1988.06.15; 80; 183; 2-4; 0; 209,177; 115; 16-31; 0; 970,763
Mirza Basic; 138; BIH; 26; 1991.07.12; 88; 188; 4-2; 0; 121,670; 109; 17-12; 0; 473,398
Casper Ruud; 139; NOR; 19; 1998.12.22; 77; 183; 7-9; 0; 222,116; 108; 9-12; 0; 261,018
Bernard Tomic; 140; AUS; 25; 1992.10.21; 91; 196; 10-19; 0; 488,564; 17; 169-158; 3; 5,293,195
Martin Klizan; 141; SVK; 28; 1989.07.11; 80; 191; 11-16; 0; 360,936; 24; 117-122; 5; 4,274,759
Elias Ymer; 142; SWE; 21; 1996.04.10; 78; 183; 4-5; 0; 123,167; 118; 13-30; 0; 540,645
Sebastian Ofner; 143; AUT; 21; 1996.05.12; 81; 191; 5-3; 0; 201,545; 129; 5-3; 0; 234,549
Renzo Olivo; 144; ARG; 25; 1992.03.15; 73; 180; 8-16; 0; 327,412; 78; 20-28; 0; 798,066
Uladzimir Ignatik; 145; BLR; 27; 1990.07.14; 82; 183; 0-0; 0; 96,982; 129; 13-16; 0; 538,264
Akira Santillan; 146; AUS; 20; 1997.05.22; 77; 180; 2-5; 0; 133,498; 144; 2-7; 0; 211,746
Yannick Maden; 147; GER; 28; 1989.10.28; 68; 185; 1-1; 0; 75,757; 147; 1-2; 0; 125,225
Ramkumar Ramanathan; 148; IND; 23; 1994.11.08; 77; 188; 8-5; 0; 111,048; 136; 12-13; 0; 314,105
Egor Gerasimov; 149; BLR; 25; 1992.11.11; 84; 183; 3-0; 0; 71,296; 121; 14-4; 0; 236,941
Go Soeda; 150; JPN; 33; 1984.09.05; 73; 178; 1-3; 0; 150,392; 47; 53-87; 0; 1,766,781
Nicolas Almagro; 151; ESP; 32; 1985.08.21; 86; 183; 10-12; 0; 362,841; 9; 397-277; 13; 10,742,287
Tommy Paul; 152; USA; 20; 1997.05.17; 78; 185; 6-4; 0; 174,593; 151; 7-9; 0; 352,690
Tatsuma Ito; 153; JPN; 29; 1988.05.18; 75; 180; 0-2; 0; 124,423; 60; 35-61; 0; 1,306,945
Alessandro Giannessi; 154; ITA; 27; 1990.05.30; 82; 185; 6-9; 0; 190,029; 84; 10-16; 0; 634,692
Corentin Moutet; 155; FRA; 18; 1999.04.19; 68; 175; 0-0; 0; 58,270; 154; 0-0; 0; 89,397
Gleb Sakharov; 156; FRA; 29; 1988.06.10; 78; 185; 1-1; 0; 90,153; 155; 1-1; 0; 187,238
Calvin Hemery ; 157; FRA; 22; 1995.01.28; 85; 188; 0-1; 0; 71,881; 152; 1-3; 0; 206,937
Nikola Milojevic; 158; SRB; 22; 1995.06.19; 76; 188; 0-0; 0; 80,362; 143; 1-1; 0; 177,235
Kenny De Schepper; 159; FRA; 30; 1987.05.29; 104; 203; 5-4; 0; 116,303; 62; 26-59; 0; 1,499,015
Andrej Martin; 160; SVK; 28; 1989.09.20; 72; 180; 2-2; 0; 71,695; 98; 13-13; 0; 709,910
Mathias Bourgue; 161; FRA; 23; 1994.01.18; 83; 188; 0-2; 0; 116,165; 140; 1-3; 0; 388,080
Felix Auger-Aliassime; 162; CAN; 17; 2000.08.08; 84; 191; 0-0; 0; 64,377; 153; 0-0; 0; 86,995
Jurgen Zopp; 163; EST; 29; 1988.03.29; 88; 191; 1-2; 0; 47,300; 71; 18-32; 0; 792,916
Tommy Robredo; 164; ESP; 35; 1982.05.01; 75; 180; 6-11; 0; 232,308; 5; 533-354; 12; 13,172,359
Jozef Kovalik; 165; SVK; 25; 1992.11.04; 82; 183; 3-6; 0; 132,279; 109; 7-15; 0; 466,999
Yoshihito Nishioka; 166; JPN; 22; 1995.09.27; 64; 170; 9-9; 0; 214,339; 58; 22-27; 0; 776,988
Stefan Kozlov; 167; USA; 19; 1998.02.01; 79; 183; 2-9; 0; 173,581; 115; 5-15; 0; 387,296
Soonwoo Kwon; 168; KOR; 20; 1997.12.02; 72; 180; 3-1; 0; 61,910; 168; 3-1; 0; 105,050
Joao Domingues; 169; POR; 24; 1993.10.05; 70;  ;2-1; 0; 55,788; 166; 4-1; 0; 115,936
Liam Broady; 170; GBR; 23; 1994.01.04; 78; 183; 2-2; 0; 78,968; 158; 3-6; 0; 357,585
Simone Bolelli; 171; ITA; 32; 1985.10.08; 83; 183; 2-4; 0; 214,496; 36; 117-158; 0; 4,726,425
Alexey Vatutin; 172; RUS; 25; 1992.10.27; 69; 178; 0-0; 0; 66,048; 172; 0-0; 0; 157,306
Darian King; 173; BAR; 25; 1992.04.26; 77; 188; 9-4; 0; 172,397; 106; 26-10; 0; 339,069
Denis Kudla; 174; USA; 25; 1992.08.17; 75; 180; 0-0; 0; 13,602; 157; 7-19; 0; 1,666,932
Michael Mmoh; 175; USA; 19; 1998.01.10; 85; 185; 0-4; 0; 147,330; 141; 0-7; 0; 284,605
Mackenzie McDonald; 176; USA; 22; 1995.04.16; 66; 178; 0-0; 0; 92,706; 164; 0-4; 0; 253,134
Marcel Granollers; 177; ESP; 31; 1986.04.12; 77; 191; 4-17; 0; 339,238; 19; 189-234; 4; 9,390,048
Arthur De Greef; 178; BEL; 25; 1992.03.27; 73; 183; 2-5; 0; 121,330; 113; 3-6; 0; 301,628
Aldin Setkic; 179; BIH; 30; 1987.12.21; 86; 191; 0-1; 0; 80,952; 165; 8-7; 0; 371,153
Matthias Bachinger; 180; GER; 30; 1987.04.02; 83; 188; 0-0; 0; 45,706; 85; 23-46; 0; 1,243,582
Facundo Bagnis; 181; ARG; 27; 1990.02.27; 82; 183; 5-8; 0; 36,407; 78; 20-22; 1; 1,120,190
Viktor Galovic; 182; CRO; 27; 1990.09.19; 88; 193; 1-0; 0; 47,714; 182; 1-1; 0; 103,568
Filip Peliwo; 183; CAN; 23; 1994.01.30; 72; 178; 0-0; 0; 46,508; 183; 2-6; 0; 185,178
Jaume Munar; 184; ESP; 20; 1997.05.05; 78; 183; 0-1; 0; 43,724; 184; 1-4; 0; 126,489
Carlos Taberner; 185; ESP; 20; 1997.08.08; 78; 183; 0-0; 0; 36,784; 175; 0-0; 0; 67,879
Jurgen Melzer; 186; AUT; 36; 1981.05.22; 81; 183; 0-2; 0; 80,169; 8; 348-334; 5; 9,936,146
Benjamin Bonzi; 187; FRA; 21; 1996.06.09; 75; 183; 1-1; 0; 122,529; 176; 1-1; 0; 163,292
Vincent Millot; 188; FRA; 31; 1986.01.30; 75; 173; 2-5; 0; 176,878; 135; 7-21; 0; 896,582
Alex Bolt; 189; AUS; 24; 1993.01.05; 84; 183; 5-2; 0; 52,917; 86; 11-7; 0; 372,622
Marcelo Arevalo; 190; ESA; 27; 1990.10.17; 86; 191; 4-1; 0; 67,250; 176; 20-17; 0; 285,614
Mitchell Krueger; 191; USA; 23; 1994.01.12; 82; 188; 1-3; 0; 130,818; 169; 1-4; 0; 318,151
Ze Zhang; 192; CHN; 27; 1990.07.04; 83; 188; 1-4; 0; 91,205; 148; 17-37; 0; 792,767
Guido Andreozzi; 193; ARG; 26; 1991.08.05; 77; 183; 0-1; 0; 15,940; 128; 0-3; 0; 516,439
Goncalo Oliveira; 194; POR; 22; 1995.02.17; 80; 188; 0-0; 0; 13,342; 163; 0-0; 0; 115,503
Duckhee Lee; 195; KOR; 19; 1998.05.29; 75; 175; 0-1; 0; 96,964; 130; 0-1; 0; 223,544
Illya Marchenko; 196; UKR; 30; 1987.09.08; 82; 185; 4-6; 0; 172,487; 49; 61-83; 0; 1,944,899
Kamil Majchrzak; 197; POL; 21; 1996.01.13; 74; 183; 0-4; 0; 43,970; 197; 1-6; 0; 110,657
Ricardo Ojeda Lara; 198; ESP; 24; 1993.01.26; 76; 180; 0-0; 0; 47,369; 171; 0-0; 0; 113,664
Ernests Gulbis; 199; LAT; 29; 1988.08.30; 88; 193; 6-8; 0; 317,146; 10; 226-211; 6; 6,459,404
Attila Balazs; 200; HUN; 29; 1988.12.27; 78; 180; 1-3; 0; 57,080; 153; 15-11; 0; 229,891
Noah Rubin; 201; USA; 21; 1996.02.21; 68; 175; 1-2; 0; 105,479; 163; 3-9; 0; 323,334
Adam Pavlasek; 202; CZE; 23; 1994.10.08; 76; 185; 1-5; 0; 182,240; 72; 4-8; 0; 470,739
Lukas Rosol; 203; CZE; 32; 1985.07.24; 84; 196; 3-4; 0; 150,488; 26; 117-151; 2; 4,096,004
Salvatore Caruso; 204; ITA; 25; 1992.12.15; 78;  ;0-1; 0; 75,793; 156; 0-2; 0; 217,605
Guilherme Clezar; 205; BRA; 24; 1992.12.31; 79; 183; 0-2; 0; 46,734; 153; 0-12; 0; 490,989
Blaz Rola; 206; SLO; 27; 1990.10.05; 85; 193; 0-0; 0; 57,885; 78; 15-18; 0; 643,124
Miomir Kecmanovic; 207; SRB; 18; 1999.08.31; 75; 183; 0-0; 0; 44,481; 207; 0-0; 0; 51,253
Alex de Minaur; 208; AUS; 18; 1999.02.17; 69; 180; 2-5; 0; 204,674; 182; 2-5; 0; 233,447
Thanasi Kokkinakis; 209; AUS; 21; 1996.04.10; 82; 196; 6-7; 0; 244,533; 69; 21-34; 0; 938,439
Mohamed Safwat; 210; EGY; 27; 1990.09.19; 83; 183; 1-4; 0; 93,974; 187; 4-14; 0; 312,072
Stefano Napolitano; 211; ITA; 22; 1995.04.11; 90; 196; 1-2; 0; 152,888; 152; 1-2; 0; 264,849
Lorenzo Sonego; 212; ITA; 22; 1995.05.11; 73;  ;0-0; 0; 34,932; 204; 0-1; 0; 98,949
Evan King; 213; USA; 25; 1992.03.25; 79; 185; 1-2; 0; 96,925; 195; 1-3; 0; 197,233
Bradley Klahn; 214; USA; 27; 1990.08.20; 75; 183; 0-0; 0; 79,247; 63; 4-18; 0; 652,760
Kevin King; 215; USA; 26; 1991.02.28; 86; 191; 0-0; 0; 34,941; 202; 0-2; 0; 141,710
Pedja Krstin; 216; SRB; 23; 1994.09.03; 73; 183; 0-0; 0; 44,582; 159; 0-2; 0; 202,196
Brayden Schnur; 217; CAN; 22; 1995.07.04; 84; 193; 0-3; 0; 62,344; 192; 0-4; 0; 118,818
